time,"coordinates [x,y]",elevation,azimuth
20250829_102000,"[1746, 1005]",22,357
20250829_102010,"[1701, 1049]",26,353
20250829_102020,"[1682, 1084]",27,350
20250829_102030,"[1699, 1083]",25,351
20250829_102040,"[1702, 1026]",26,355
20250829_102050,"[1712, 1035]",25,354
20250829_102100,"[1717, 1055]",24,353
20250829_102110,"[1718, 1061]",24,352
20250829_102120,"[1709, 1034]",25,354
20250829_102130,"[1677, 1037]",28,354
20250829_102140,"[1695, 1038]",26,354
20250829_102150,"[1682, 1063]",27,352
20250829_102200,"[1671, 1093]",28,349
20250829_102210,"[1684, 1043]",27,353
20250829_102220,"[1702, 1019]",26,355
20250829_102230,"[1714, 1000]",25,357
20250829_102240,"[1705, 991]",26,358
20250829_102250,"[1658, 949]",30,1
20250829_102300,"[1628, 918]",33,4
20250829_102310,"[1669, 882]",29,6
20250829_102320,"[1706, 898]",25,5
20250829_102330,"[1732, 931]",23,2
20250829_102340,"[1744, 965]",22,360
20250829_102350,"[1733, 1023]",23,355
20250829_102400,"[1710, 1064]",25,352
20250829_102410,"[1716, 1074]",24,351
20250829_102420,"[1730, 1062]",23,352
20250829_102430,"[1716, 1068]",24,352
20250829_102440,"[1708, 1045]",25,354
20250829_102450,"[1733, 1005]",23,357
20250829_102500,"[1727, 985]",24,358
20250829_102510,"[1762, 965]",20,360
20250829_102520,"[1768, 986]",19,358
20250829_102530,"[1777, 999]",18,357
20250829_102540,"[1781, 1004]",18,357
20250829_102550,"[1775, 999]",19,357
20250829_102600,"[1731, 982]",23,358
20250829_102610,"[1736, 988]",23,358
20250829_102620,"[327, 1504]",17,221
20250829_102630,"[1759, 1013]",20,356
20250829_102640,"[1789, 980]",17,359
20250829_102650,"[1791, 949]",17,1
20250829_102700,"[1759, 963]",20,360
20250829_102710,"[1760, 985]",20,358
20250829_102720,"[1748, 1007]",21,357
20250829_102730,"[1759, 1026]",20,355
20250829_102740,"[1764, 1047]",19,354
20250829_102750,"[1755, 1083]",20,351
20250829_102800,"[852, 1798]",16,263
20250829_102810,"[1741, 1124]",20,348
20250829_102820,"[1733, 1120]",21,348
20250829_102830,"[1751, 1098]",20,350
20250829_102840,"[1776, 1050]",18,354
20250829_102850,"[1778, 1040]",18,354
20250829_102900,"[1760, 1055]",20,353
20250829_102910,"[1760, 1103]",19,350
20250829_102920,"[1704, 1119]",24,348
20250829_102930,"[1708, 1087]",24,350
20250829_102940,"[1732, 1075]",22,352
20250829_102950,"[1754, 1033]",21,355
20250829_103000,"[1727, 1016]",23,356
20250829_103010,"[1717, 989]",24,358
20250829_103020,"[1735, 981]",23,358
20250829_103030,"[1664, 983]",30,358
20250829_103040,"[1649, 1028]",31,354
20250829_103050,"[1608, 1052]",34,352
20250829_103100,"[1578, 1032]",37,353
20250829_103110,"[1608, 1052]",34,352
20250829_103120,"[1594, 1077]",35,350
20250829_103130,"[1572, 1023]",38,354
20250829_103140,"[1612, 1076]",33,350
20250829_103150,"[1653, 1074]",30,351
20250829_103200,"[1628, 1071]",32,351
20250829_103210,"[1570, 1083]",37,349
20250829_103220,"[1628, 1039]",32,353
20250829_103230,"[1635, 1021]",32,355
20250829_103240,"[1673, 1028]",28,355
20250829_103250,"[1651, 1073]",30,351
20250829_103300,"[1633, 1100]",31,348
20250829_103310,"[1627, 1022]",33,355
20250829_103320,"[1648, 1021]",31,355
20250829_103330,"[1690, 1066]",26,352
20250829_103340,"[1726, 1069]",23,352
20250829_103350,"[1755, 1080]",20,351
20250829_103400,"[1722, 1127]",22,348
20250829_103410,"[1744, 1138]",20,347
20250829_103420,"[1733, 1114]",21,349
20250829_103430,"[1741, 1080]",21,351
20250829_103440,"[1773, 1010]",19,356
20250829_103450,"[1783, 1016]",18,356
20250829_103500,"[1785, 999]",18,357
20250829_103510,"[1802, 1018]",16,356
20250829_103520,"[1816, 1014]",14,356
20250829_103530,"[1802, 1038]",16,355
20250829_103540,"[1812, 1037]",15,355
20250829_103550,"[1807, 1076]",15,352
20250829_103600,"[1792, 1092]",16,351
20250829_103610,"[1803, 1093]",15,351
20250829_103620,"[1812, 1053]",14,354
20250829_103630,"[1786, 1031]",17,355
20250829_103640,"[1772, 1002]",19,357
20250829_103650,"[1751, 1019]",21,356
20250829_103700,"[1760, 1024]",20,355
20250829_103710,"[1746, 1016]",22,356
20250829_103720,"[1751, 1005]",21,357
20250829_103730,"[1777, 1022]",18,356
20250829_103740,"[1736, 1088]",22,351
20250829_103750,"[1212, 888]",68,16
20250829_103800,"[1674, 1142]",26,346
20250829_103810,"[1696, 1101]",25,349
20250829_103820,"[1732, 1120]",21,348
20250829_103830,"[1744, 1092]",21,350
20250829_103840,"[1772, 1100]",18,350
20250829_103850,"[1767, 1154]",17,346
20250829_103900,"[1754, 1153]",19,346
20250829_103910,"[1765, 1090]",19,351
20250829_103920,"[1760, 1042]",20,354
20250829_103930,"[1752, 1017]",21,356
20250829_103940,"[1717, 986]",24,358
20250829_103950,"[1727, 938]",24,2
20250829_104000,"[1764, 984]",20,358
20250829_104010,"[1789, 998]",17,357
20250829_104020,"[1794, 1051]",16,354
20250829_104030,"[1807, 1052]",15,354
20250829_104040,"[1810, 1009]",15,357
20250829_104050,"[1813, 1006]",15,357
20250829_104100,"[1822, 1009]",14,357
20250829_104110,"[1819, 1032]",14,355
20250829_104120,"[1819, 1013]",14,356
20250829_104130,"[228, 1416]",14,212
20250829_104140,"[1805, 1015]",15,356
20250829_104150,"[1766, 1052]",19,353
20250829_104200,"[1754, 1092]",20,351
20250829_104210,"[1730, 1103]",22,349
20250829_104220,"[1712, 1106]",24,349
20250829_104230,"[1722, 1079]",23,351
20250829_104240,"[1733, 1064]",22,352
20250829_104250,"[1736, 1051]",22,353
20250829_104300,"[1701, 1080]",25,351
20250829_104310,"[1733, 1120]",21,348
20250829_104320,"[1747, 1154]",19,346
20250829_104330,"[1752, 1151]",19,346
20250829_104340,"[1744, 1131]",20,348
20250829_104350,"[1738, 1128]",21,348
20250829_104400,"[1757, 1157]",18,346
20250829_104410,"[1756, 1159]",18,346
20250829_104420,"[1728, 1183]",20,344
20250829_104430,"[1736, 1164]",20,345
20250829_104440,"[1746, 1130]",20,348
20250829_104450,"[1763, 1089]",19,351
20250829_104500,"[1743, 1122]",20,348
20250829_104510,"[1735, 1114]",21,349
20250829_104520,"[1717, 1112]",23,349
20250829_104530,"[1693, 1107]",25,349
20250829_104540,"[1697, 1135]",24,347
20250829_104550,"[1720, 1091]",23,350
20250829_104600,"[1724, 1075]",23,351
20250829_104610,"[1708, 1036]",25,354
20250829_104620,"[1718, 1047]",24,353
20250829_104630,"[1696, 1044]",26,353
20250829_104640,"[1698, 1055]",26,353
20250829_104650,"[1686, 1040]",27,354
20250829_104700,"[1699, 1040]",26,354
20250829_104710,"[1696, 1041]",26,354
20250829_104720,"[1725, 1029]",23,355
