S 25/09/01 12:17:09
D 2815  16.05  40.60
D 2820  18.90  41.41
D 2825  25.31  42.11
D 2830  27.95  41.76
D 2835  28.64  40.86
D 2840  28.70  40.03
D 2845  28.95  40.07
D 2850  29.70  39.42
D 2855  31.55  39.50
D 2860  28.61  38.65
D 2865  24.90  42.60
D 2870  23.19  44.83
D 2875  26.98  43.21
D 2880  31.45  42.52
D 2885  33.88  40.83
D 2890  33.04  38.52
D 2895  31.71  38.08
D 2900  30.79  38.81
D 2905  31.03  40.83
D 2910  31.04  44.75
D 2915  30.97  45.61
D 2920  21.06  46.65
D 2925  15.94  45.05
D 2930  13.53  43.28
D 2935  13.32  42.98
D 2940  11.24  44.66
D 2945  17.69  38.03
D 2950  17.70  35.18
D 2955  16.14  32.86
D 2960  16.17  30.39
D 2965  15.33  30.55
D 2970  14.60  32.38
D 2975  15.77  35.23
D 2980  16.17  36.98
D 2985  14.12  37.27
D 2990  14.56  37.60
D 2995  12.73  38.10
D 3000  12.47  41.46
D 3005  12.71  40.50
D 3010  12.80  41.48
D 3015  12.22  41.83
D 3020  10.91  41.34
D 3025  10.34  41.46
D 3030  10.93  40.18
D 3035  13.11  38.56
D 3040  17.21  40.12
D 3045  20.06  39.85
D 3050  19.65  39.94
D 3055  18.57  39.50
D 3060  17.46  41.50
D 3065  13.88  42.69
D 3070  16.16  45.05
D 3075  17.09  46.06
D 3080  21.46  46.61
D 3085  26.02  45.51
D 3090  27.79  43.05
D 3095  21.85  43.23
D 3100  23.93  43.77
D 3105  24.11  42.98
D 3110  21.33  42.30
D 3115  19.32  43.00
D 3120  18.41  42.38
D 3125  18.63  38.42
D 3130  19.71  34.93
D 3135  20.64  34.83
D 3140  21.00  35.11
D 3145  23.86  37.79
D 3150  30.69  35.77
D 3155  32.04  35.25
D 3160  33.14  36.15
D 3165  33.18  38.59
D 3170  34.27  38.77
D 3175  34.01  39.27
D 3180  31.35  39.85
D 3185  30.18  38.03
D 3190  27.10  36.61
D 3195  28.76  35.92
D 3200  27.95  35.21
D 3205  26.98  36.53
D 3210  26.54  39.41
D 3215  27.88  39.30
D 3220  26.34  39.42
D 3225  25.71  39.96
D 3230  24.58  37.54
D 3235  22.58  35.75
D 3240  24.28  35.84
D 3245  24.34  36.61
D 3250  25.95  37.91
D 3255  25.13  38.36
D 3260  23.39  42.47
D 3265  24.62  41.41
D 3270  25.15  38.69
D 3275  25.51  38.40
D 3280  23.84  36.80
D 3285  21.92  38.48
D 3290  21.50  37.68
D 3295  22.16  36.80
D 3300  22.91  37.91
D 3305  23.91  38.52
D 3310  28.18  41.30
D 3315  27.18  44.11
D 3320  27.91  44.65
D 3325  28.36  46.53
D 3330  30.81  45.69
D 3335  34.68  47.33
D 3340  40.48  46.99
D 3345  41.32  47.42
D 3350  39.70  48.26
D 3355  38.57  46.46
D 3360  36.14  46.37
D 3365  30.68  46.49
D 3370  31.42  48.11
D 3375  31.89  45.91
D 3380  31.70  46.56
D 3385  33.12  47.35
D 3390  32.95  48.49
D 3395  28.54  49.61
D 3400  25.12  45.33
D 3405  24.96  40.58
D 3410  23.68  35.38
D 3415  22.09  32.93
D 3420  23.17  32.41
D 3425  21.99  34.15
D 3430  27.32  37.60
D 3435  27.39  37.41
D 3440  29.42  38.88
D 3445  32.95  38.88
D 3450  35.22  37.73
D 3455  34.85  35.44
D 3460  31.68  35.26
D 3465  31.18  33.89
D 3470  32.97  35.03
D 3475  34.68  36.69
D 3480  35.94  37.24
D 3485  33.53  39.83
D 3490  35.16  41.32
D 3495  34.89  42.11
D 3500  35.40  40.54
D 3505  36.83  41.69
D 3510  40.49  41.95
D 3515  41.44  40.25
D 3520  41.44  43.50
D 3525  36.61  45.05
D 3530  33.02  46.63
D 3535  38.45  46.38
D 3540  40.79  47.86
D 3545  40.50  48.07
D 3550  36.27  48.12
D 3555  30.71  46.68
D 3560  33.34  44.97
D 3565  33.96  43.39
D 3570  32.82  40.22
D 3575  30.65  38.15
D 3580  27.53  37.18
D 3585  24.41  37.91
D 3590  24.88  38.54
D 3595  23.18  38.32
D 3600  23.70  37.30
D 3605  25.83  36.91
D 3610  28.04  39.65
D 3615  28.88  39.45
D 3620  27.55  39.47
D 3625  25.70  39.87
D 3630  21.61  39.18
D 3635  22.25  39.44
D 3640  22.57  39.66
D 3645  22.00  40.34
D 3650  27.52  40.60
D 3655  30.80  40.36
D 3660  31.22  42.00
D 3665  33.03  40.83
D 3670  31.93  41.12
D 3675  32.60  40.25
D 3680  32.37  41.18
D 3685  29.84  40.47
D 3690  32.33  39.91
D 3695  32.12  38.48
D 3700  29.19  38.80
D 3705  31.65  37.89
D 3710  34.94  38.04
D 3715  29.90  38.46
D 3720  30.00  38.24
D 3725  28.55  38.05
D 3730  28.74  36.65
D 3735  28.58  37.01
D 3740  27.07  38.55
D 3745  27.14  38.12
D 3750  30.48  39.85
D 3755  28.67  40.33
D 3760  28.93  39.62
D 3765  31.32  39.60
D 3770  33.23  41.25
D 3775  30.63  42.93
D 3780  29.95  42.71
D 3785  29.59  41.15
D 3790  31.04  41.15
D 3795  32.20  40.72
D 3800  31.04  39.23
D 3805  27.39  38.01
D 3810  24.00  35.88
D 3815  23.64  34.98
D 3820  25.39  36.74
D 3825  27.38  37.49
D 3830  30.00  36.48
D 3835  32.83  35.71
D 3840  31.96  35.58
D 3845  31.15  36.70
D 3850  30.20  37.33
D 3855  28.82  38.92
D 3860  25.11  42.74
D 3865  25.01  45.52
D 3870  30.65  45.49
D 3875  33.98  43.82
D 3880  37.30  42.37
D 3885  38.38  42.56
D 3890  38.94  42.68
D 3895  38.46  42.11
D 3900  39.18  39.50
D 3905  39.26  41.14
D 3910  34.22  41.34
D 3915  30.20  37.75
D 3920  32.05  37.48
D 3925  41.26  38.50
D 3930  43.53  43.29
D 3935  48.94  48.38
D 3940  49.64  43.85
D 3945  47.94  41.93
D 3950  41.77  40.41
D 3955  37.78  43.43
D 3960  32.82  41.62
D 3965  29.84  41.03
D 3970  27.79  39.60
D 3975  31.94  40.52
D 3980  31.13  41.40
D 3985  32.60  42.00
D 3990  29.93  43.25
D 3995  28.46  42.08
D 4000  29.63  41.56
D 4005  29.56  38.57
D 4010  29.05  38.49
D 4015  28.43  41.27
D 4020  23.08  40.20
D 4025  20.61  39.66
D 4030  24.13  39.63
D 4035  28.23  39.26
D 4040  31.52  39.71
D 4045  32.51  40.16
D 4050  35.74  40.25
D 4055  33.98  43.56
D 4060  31.53  47.58
D 4065  36.33  49.20
D 4070  46.60  47.58
D 4075  47.46  43.46
D 4080  43.08  43.65
D 4085  42.21  43.59
D 4090  41.96  42.68
D 4095  39.92  39.50
D 4100  38.93  39.75
D 4105  39.03  41.18
D 4110  39.48  41.88
D 4115  39.36  42.90
D 4120  37.66  42.99
