time,"coordinates [x,y]",elevation,azimuth
20250829_105530,"[1704, 1279]",242,337
20250829_105540,"[1729, 1281]",245,337
20250829_105550,"[1750, 1237]",246,341
20250829_105600,"[1779, 1177]",247,345
20250829_105610,"[1789, 1124]",247,349
20250829_105620,"[1754, 1139]",243,347
20250829_105630,"[1757, 1093]",242,351
20250829_105640,"[1755, 1085]",242,351
20250829_105650,"[1760, 1027]",242,355
20250829_105700,"[1779, 1007]",244,357
20250829_105710,"[1801, 1010]",246,357
20250829_105720,"[1819, 1006]",249,357
20250829_105730,"[1793, 1047]",246,354
20250829_105740,"[1788, 1044]",245,354
20250829_105750,"[1755, 1066]",242,352
20250829_105800,"[1760, 1103]",243,350
20250829_105810,"[1735, 1117]",240,349
20250829_105820,"[1693, 1108]",235,349
20250829_105830,"[1653, 1124]",231,347
20250829_105840,"[1634, 1187]",230,341
20250829_105850,"[1627, 1240]",232,337
20250829_105900,"[1663, 1236]",236,339
20250829_105910,"[1703, 1221]",240,341
20250829_105920,"[1741, 1192]",243,343
20250829_105930,"[1788, 1160]",248,346
20250829_105940,"[1772, 1153]",246,347
20250829_105950,"[1778, 1170]",247,346
20250829_110000,"[1763, 1214]",246,342
20250829_110010,"[1781, 1210]",248,343
20250829_110020,"[1755, 1165]",244,346
20250829_110030,"[1760, 1160]",244,346
20250829_110040,"[1768, 1119]",244,349
20250829_110050,"[1752, 1136]",243,347
20250829_110100,"[1729, 1181]",241,344
20250829_110110,"[1721, 1181]",240,344
20250829_110120,"[1703, 1205]",239,342
20250829_110130,"[1679, 1225]",237,340
20250829_110140,"[1693, 1183]",237,343
20250829_110150,"[1636, 1184]",231,342
20250829_110200,"[1647, 1218]",233,339
20250829_110210,"[1626, 1176]",229,342
20250829_110220,"[1651, 1133]",231,346
20250829_110230,"[1689, 1119]",235,348
20250829_110240,"[1669, 1133]",233,346
20250829_110250,"[1672, 1141]",233,346
20250829_110300,"[1718, 1154]",239,346
20250829_110310,"[1756, 1182]",245,344
20250829_110320,"[1794, 1135]",248,348
20250829_110330,"[1776, 1157]",246,346
20250829_110340,"[1751, 1154]",243,346
20250829_110350,"[1712, 1154]",238,346
20250829_110400,"[1675, 1125]",233,347
20250829_110410,"[1693, 1154]",236,345
20250829_110420,"[1698, 1165]",237,344
20250829_110430,"[1655, 1146]",231,345
20250829_110440,"[1675, 1139]",234,346
20250829_110450,"[1711, 1154]",238,346
20250829_110500,"[1751, 1122]",242,348
20250829_110510,"[1775, 1101]",245,350
20250829_110520,"[1786, 1045]",245,354
20250829_110530,"[1776, 1022]",244,356
20250829_110540,"[1756, 1021]",241,356
20250829_110550,"[1737, 1034]",239,355
20250829_110600,"[1744, 1113]",241,349
20250829_110610,"[1729, 1199]",242,343
20250829_110620,"[1698, 1140]",236,346
20250829_110630,"[1690, 1123]",235,347
20250829_110640,"[1685, 1159]",235,345
20250829_110650,"[1727, 1187]",241,344
20250829_110700,"[1752, 1162]",243,346
20250829_110710,"[1738, 1107]",240,349
20250829_110720,"[1755, 1068]",242,352
20250829_110730,"[1752, 1022]",241,356
20250829_110740,"[1712, 1071]",236,352
20250829_110750,"[1748, 1109]",242,349
20250829_110800,"[1690, 1096]",234,349
20250829_110810,"[1656, 1136]",231,346
20250829_110820,"[1664, 1188]",234,342
20250829_110830,"[1690, 1156]",236,345
20250829_110840,"[1695, 1118]",235,348
20250829_110850,"[1691, 1101]",235,349
20250829_110900,"[1667, 1130]",232,346
20250829_110910,"[1700, 1146]",237,346
20250829_110920,"[1728, 1114]",239,349
20250829_110930,"[1746, 1072]",241,352
20250829_110940,"[1777, 1024]",244,356
20250829_110950,"[1787, 1021]",245,356
20250829_111000,"[1802, 1023]",247,356
20250829_111010,"[1821, 1025]",249,356
20250829_111020,"[1821, 1016]",249,356
20250829_111030,"[847, 512]",200,104
20250829_111040,"[780, 466]",208,110
20250829_111050,"[297, 1485]",247,218
20250829_111100,"[819, 544]",197,109
20250829_111110,"[1061, 725]",175,67
20250829_111120,"[1790, 1040]",245,354
20250829_111130,"[1767, 1059]",243,353
20250829_111140,"[1756, 1158]",244,346
20250829_111150,"[1333, 522]",214,50
20250829_111200,"[1111, 390]",216,75
20250829_111210,"[819, 599]",191,111
20250829_111220,"[541, 418]",227,128
20250829_111230,"[823, 639]",186,113
20250829_111240,"[538, 431]",226,129
20250829_111250,"[804, 671]",184,118
20250829_111300,"[640, 488]",213,124
20250829_111310,"[525, 463]",224,131
20250829_111320,"[1059, 724]",175,67
20250829_111330,"[1058, 724]",175,67
20250829_111340,"[1058, 724]",175,67
20250829_111350,"[1058, 724]",175,67
20250829_111400,"[637, 493]",213,125
20250829_111410,"[1056, 725]",174,68
20250829_111420,"[559, 519]",216,132
20250829_111430,"[607, 584]",207,133
20250829_111440,"[947, 387]",214,91
20250829_111450,"[695, 408]",218,116
20250829_111500,"[948, 405]",211,91
20250829_111510,"[949, 415]",210,91
20250829_111520,"[852, 1808]",248,263
20250829_111530,"[685, 448]",215,118
20250829_111540,"[959, 426]",209,90
20250829_111550,"[941, 505]",199,92
20250829_111600,"[942, 518]",198,92
20250829_111610,"[943, 533]",196,92
20250829_111620,"[943, 545]",194,92
20250829_111630,"[915, 448]",206,95
20250829_111640,"[760, 431]",213,111
20250829_111650,"[983, 551]",194,87
20250829_111700,"[952, 391]",213,91
20250829_111710,"[954, 400]",212,91
20250829_111720,"[948, 644]",182,92
20250829_111730,"[949, 661]",180,92
20250829_111740,"[767, 407]",215,109
20250829_111750,"[917, 554]",193,96
20250829_111800,"[901, 442]",207,96
20250829_111810,"[954, 738]",170,92
20250829_111820,"[784, 397]",216,107
20250829_111830,"[973, 491]",201,88
20250829_111840,"[888, 503]",200,99
20250829_111850,"[799, 413]",213,106
20250829_111900,"[799, 422]",212,107
20250829_111910,"[1025, 416]",211,83
20250829_111920,"[799, 443]",210,107
20250829_111930,"[891, 560]",193,100
20250829_111940,"[1032, 450]",206,82
20250829_111950,"[797, 478]",206,109
20250829_112000,"[1039, 475]",204,81
20250829_112010,"[1040, 487]",202,80
20250829_112020,"[810, 463]",207,107
20250829_112030,"[1095, 746]",174,58
